,tconst,averageRating,numVotes
127386,tt0191787,5.9,79
127469,tt0191996,6.0,4225
127483,tt0192023,6.2,3036
127499,tt0192071,5.7,19584
127520,tt0192110,8.3,39
127521,tt0192111,5.4,14946
127527,tt0192126,4.1,632
127571,tt0192237,6.8,144
127579,tt0192255,5.7,10977
127591,tt0192295,5.7,641
127614,tt0192346,6.6,65
127670,tt0192455,4.7,3855
127697,tt0192528,4.4,132
127732,tt0192614,5.6,33106
127780,tt0192719,4.7,688
127788,tt0192731,4.3,18391
127823,tt0192788,6.3,1317
127824,tt0192789,6.6,25
127866,tt0192912,4.2,122
127883,tt0192947,7.9,51
127885,tt0192949,5.7,1771
127915,tt0193011,5.3,51
127969,tt0193135,5.5,199
128050,tt0193318,3.1,765
128070,tt0193364,4.6,8954
128071,tt0193365,7.2,28
128134,tt0193537,4.0,108
128137,tt0193545,5.7,193
128144,tt0193560,5.2,6193
128157,tt0193598,6.4,22
128274,tt0193854,6.2,2392
128277,tt0193859,4.4,94
128391,tt0194104,7.0,2968
128446,tt0194218,6.7,8844
128513,tt0194368,6.0,4214
128532,tt0194410,4.2,445
128594,tt0194519,6.7,376
128901,tt0195108,7.3,8
128953,tt0195234,6.9,18966
128998,tt0195308,4.3,392
129039,tt0195393,5.0,130
129121,tt0195551,6.4,65
129164,tt0195631,4.9,381
129191,tt0195685,7.4,208998
129206,tt0195714,6.7,267433
129229,tt0195778,5.2,8771
129257,tt0195857,5.2,157
129258,tt0195860,5.4,54
129300,tt0195944,4.2,149
129301,tt0195945,6.1,42634
129356,tt0196068,4.9,235
129357,tt0196069,7.7,8141
129379,tt0196106,4.2,2664
129409,tt0196158,3.5,7616
129433,tt0196216,6.6,39721
129436,tt0196219,2.2,1252
129440,tt0196223,5.3,1253
129443,tt0196229,6.5,282603
129678,tt0196708,6.2,2667
129684,tt0196723,5.6,1424
129861,tt0197072,3.8,649
129875,tt0197096,6.8,2835
130001,tt0197299,3.6,122
130039,tt0197384,5.8,3469
130166,tt0197633,4.8,691
130173,tt0197644,4.4,171
130175,tt0197646,4.7,290
130234,tt0197750,3.9,2365
130237,tt0197753,5.6,560
130294,tt0197862,7.8,80
130329,tt0197929,6.3,28
130370,tt0197996,5.0,447
130383,tt0198013,8.8,18
130387,tt0198021,6.7,35584
130516,tt0198284,4.5,856
130566,tt0198386,5.6,6594
130597,tt0198460,5.8,293
130717,tt0198748,8.1,78
130733,tt0198781,8.1,939262
130790,tt0198893,4.1,180
130795,tt0198903,5.2,263
130845,tt0199007,4.3,417
130911,tt0199129,6.3,275
130995,tt0199290,4.7,3594
131009,tt0199314,5.8,6712
131084,tt0199481,2.7,5372
131095,tt0199504,5.3,65
131131,tt0199602,6.7,35
131139,tt0199626,5.4,25556
131146,tt0199650,3.9,1064
131190,tt0199725,7.2,23090
131191,tt0199727,6.4,5624
131198,tt0199744,5.0,403
131203,tt0199753,5.7,59178
131284,tt0199898,4.8,292
131322,tt0199974,4.8,1135
131349,tt0200027,6.5,29949
131404,tt0200171,6.1,211
131415,tt0200192,5.4,6136
131543,tt0200422,4.7,838
131546,tt0200427,6.9,1779
131570,tt0200465,7.2,185882
131574,tt0200472,5.6,2371
131581,tt0200483,5.3,57
131604,tt0200525,6.3,26
131608,tt0200530,6.6,5776
131618,tt0200550,5.7,118417
131672,tt0200669,5.9,4534
131691,tt0200720,7.0,7800
131804,tt0200954,3.7,949
131830,tt0201020,6.4,204
131941,tt0201275,7.7,57
132007,tt0201394,5.0,1560
132043,tt0201479,3.9,673
132047,tt0201485,5.3,9246
132130,tt0201670,6.0,417
132139,tt0201694,2.6,1110
132154,tt0201726,4.6,349
132159,tt0201737,5.0,197
132160,tt0201739,8.0,20
132208,tt0201844,2.5,4394
132225,tt0201888,6.9,724
132230,tt0201899,6.8,1621
132231,tt0201901,5.5,323
132250,tt0201934,4.7,77
132403,tt0202236,4.7,946
132430,tt0202294,7.2,69
132439,tt0202314,3.1,1321
132457,tt0202360,5.4,63
132477,tt0202402,5.5,11409
132506,tt0202452,4.3,50
132510,tt0202458,1.9,182
132516,tt0202470,6.3,44451
132529,tt0202487,7.7,24
132568,tt0202560,7.1,23
132605,tt0202623,5.4,4888
132612,tt0202641,7.2,1708
132630,tt0202677,6.6,34506
132635,tt0202695,5.4,79
132645,tt0202711,6.4,938
132721,tt0202829,6.9,14
132734,tt0202856,6.3,191
132798,tt0202989,4.5,713
132804,tt0203009,7.6,292409
132810,tt0203019,7.2,121487
132825,tt0203047,6.3,84
132830,tt0203053,5.5,886
132841,tt0203078,5.4,44
132868,tt0203119,7.3,64122
132879,tt0203144,6.6,17
132888,tt0203166,7.4,23365
132907,tt0203206,8.2,10
132919,tt0203230,7.5,30743
132947,tt0203274,5.4,9
132955,tt0203289,6.6,1650
132961,tt0203297,5.3,552
133062,tt0203536,4.6,636
133064,tt0203540,6.8,6340
133075,tt0203580,3.7,293
133078,tt0203584,6.3,253
133104,tt0203632,7.4,14806
133162,tt0203755,6.2,30985
133188,tt0203830,4.7,312
133192,tt0203835,3.1,887
133216,tt0203912,5.3,95
